역번호,역명,1월 승차,1월 하차,2월 승차,2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
1101,판암,107462,96768,109549,98253,126568,114675,120298,108580,125280,113086,121264,109868,116496,105649,122115,111887,114847,103996,121516,110128,119377,108820,119269,108284
1102,신흥,42346,38462,42899,38531,48647,44405,46330,42459,48318,44344,47023,42755,45663,42181,49638,45905,45584,41945,46904,42446,46173,43058,46130,42528
1103,대동,101194,88671,101158,88720,136844,119410,127058,111056,133579,116612,125428,108209,114473,99747,122244,107956,123596,107683,128182,111603,130210,112688,123890,105946
1104,대전,298707,284204,303962,290629,333709,323297,323285,311340,336775,322998,327716,320920,314277,304780,355425,340160,317537,313362,337726,316550,327029,316603,340880,330304
1105,중앙로,150261,165006,155600,171044,157885,173968,150194,165512,162978,178251,157771,172187,167455,182090,230352,247541,150580,168941,163859,183131,155256,171450,184651,203280
1106,중구청,53210,56637,53650,57446,63875,66255,60363,62876,62749,66291,61457,65202,59061,62237,69292,72779,59322,61169,60639,63755,63068,65737,59498,62548
1107,서대전네거리,152154,160278,156241,163510,178736,186235,164385,173417,169373,178087,165616,173704,157439,164952,170421,180813,155981,163049,180946,187916,166149,173788,167043,173552
1108,오룡,104945,95948,108461,98098,125404,113421,118034,107287,121841,110439,117680,106317,112021,100911,117164,105886,111679,98822,116990,104793,118815,105986,116814,104674
1109,용문,160381,161936,165060,168183,189346,193099,180858,183242,189974,192650,189405,191562,182753,185265,188854,192394,177309,178557,186303,189251,185412,189618,189606,193613
1110,탄방,116685,126386,116917,126850,129437,142505,119749,130911,124179,136420,121687,133764,121634,131604,125076,135576,117100,127820,124662,136570,126567,137833,127545,138210
1111,시청,203042,206841,208782,212489,215622,224443,201171,209019,211900,219794,208804,216593,215450,220428,220703,225275,200049,207642,211646,222092,213078,223653,214266,224371
1112,정부청사,169275,185432,174691,190582,195853,210387,184074,198163,190440,205991,188434,201701,181916,195853,186829,198344,178827,191636,190757,206107,197959,210886,195262,210403
1113,갈마,79123,80190,80975,81999,90493,90634,86685,86370,90148,89707,88654,87968,85414,85099,86961,86574,82665,81575,86917,85828,87197,86034,88595,87752
1114,월평,90923,91809,90190,89710,105667,105488,99054,99478,102462,102481,98582,96424,95386,94719,96725,95873,97141,95771,102180,103989,101376,101398,103117,102141
1115,갑천,25483,25241,26321,25934,30151,29814,29033,29050,29326,29099,28827,27779,25915,25201,26892,26353,26179,25461,29407,28924,28990,28603,28095,27616
1116,유성온천,247570,259939,255347,268061,291455,303343,270274,281224,289574,302836,272564,284701,257122,270285,259794,274223,257181,268109,277034,291959,279141,291718,291403,304510
1117,구암,76323,76377,77932,77610,91540,91258,87416,87722,89957,90203,86397,85980,80248,79745,80432,79833,83491,83049,87673,88220,87073,86825,85740,85322
1118,현충원,51013,41140,53215,42981,77250,64692,73859,61658,77506,65316,69205,57895,55662,45725,55815,45870,69353,57121,73527,61077,71059,58592,63018,50892
1119,월드컵경기장,69527,61469,71369,63822,79998,71638,80552,73690,80325,73318,87695,82967,80133,72876,76218,67919,76883,69304,79986,72411,79675,71513,80814,71997
1120,노은,108647,113951,109726,114532,118980,124568,113153,117969,118672,123760,118236,122358,116002,121453,115888,121577,109092,114878,115847,121097,117551,123067,121086,126536
1121,지족,56632,53770,56579,54081,66532,63572,62233,59207,64540,61171,61298,58786,57997,55670,56240,54538,57293,54511,60774,57806,63511,60816,62681,59530
1122,반석,198225,182587,203029,187003,228426,213792,215365,201880,221793,207400,216058,201369,208136,193463,208391,192543,204940,190280,218269,203401,220433,204229,221790,203818
