연도,역번호,역명,1월 승차,1월 하차,2월 승차,2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
2015,1101,판암,140103,119964,121727,104621,149704,131925,146309,128569,151499,133522,123259,108598,138325,120236,133538,116638,137300,119704,145278,126231,134557,117150,140927,122454
2015,1102,신흥,58101,48494,49917,42365,62109,52610,61918,52701,64596,54745,54061,45753,59549,51486,57959,50197,60526,51938,64591,55817,60958,52360,65425,55359
2015,1103,대동,167893,142951,137027,117956,204259,177490,195244,168862,198391,169467,157615,133686,162400,139061,163618,142629,179646,152905,189045,163507,179900,156705,179237,155185
2015,1104,대전,338133,339420,298998,299928,346646,345775,344052,347941,366612,368128,269224,274896,324010,328129,332045,331019,332064,336562,345785,350536,334843,334716,346164,351834
2015,1105,중앙로,217749,239720,202138,221174,219426,240776,197064,220220,236105,260536,167146,184676,210010,229236,207396,226973,200365,220826,212766,234283,201850,221772,243757,265242
2015,1106,중구청,76903,84004,63130,68750,82771,88301,82199,88531,79631,86032,63339,67895,76362,81890,69324,74033,74386,78631,80443,84741,77107,82066,77170,82681
2015,1107,서대전네거리,241658,251065,206798,214537,250215,257789,247105,253860,254575,263593,195355,201891,227927,234691,221211,229828,224660,232312,242013,250473,231019,238989,247523,255631
2015,1108,오룡,142741,130328,121703,110466,151710,136124,150410,135141,146593,131859,123715,111366,138421,123444,130275,116287,137059,121660,147111,130669,145327,129596,149517,134366
2015,1109,용문,237933,241023,201225,203880,245918,250054,238715,241673,241553,243362,200987,200998,227425,228352,217525,218546,220247,222723,240494,244612,229276,231971,246334,248556
2015,1110,탄방,164160,181992,136396,150984,167602,185462,161455,179554,160225,178636,135997,152341,154594,173902,148663,166379,150338,168426,160797,180004,154400,172963,165052,185672
2015,1111,시청,257499,279492,212537,231948,244560,267168,234969,256849,239125,259496,197407,216631,239081,261438,226607,246055,220134,240641,235137,255423,229521,249634,252730,278638
2015,1112,정부청사,210927,230734,176484,191504,218981,238136,214730,233830,218920,237196,171188,188061,196199,214372,187997,203860,193434,209507,212002,229002,203289,220304,215470,234722
2015,1113,갈마,102738,99367,88780,86083,104817,101697,101945,98594,106050,101782,85273,81762,97766,94312,92866,88985,94316,91355,101341,97619,97762,93304,105262,100754
2015,1114,월평,127089,127454,107032,107703,133727,135359,129564,130619,134787,136242,107483,108160,118653,119459,115531,118290,119221,122414,131450,132780,124736,126776,128357,128383
2015,1115,갑천,33925,32950,28176,27137,35817,35317,35060,34257,36009,35654,28939,27944,32100,30544,30318,28782,31319,29934,33400,32979,31698,30967,33212,32085
2015,1116,유성온천,283472,280853,240865,238714,301464,298042,288470,286147,302588,303999,226529,223823,257817,254990,250182,250171,263079,263694,285547,285150,277960,279885,301679,299179
2015,1117,구암,89259,89604,75926,76938,96399,97715,94239,95656,96546,99503,78156,78765,84465,85268,81521,83306,87210,89368,92689,93799,87916,89174,90104,90327
2015,1118,현충원,65106,47687,58230,41334,93398,74004,94376,75480,97146,75809,67760,54438,66539,49152,68876,50571,84123,67270,90302,72464,83180,67012,77692,59305
2015,1119,월드컵경기장,74805,68164,62855,57984,83261,81264,76083,71244,76890,72091,64666,60621,71756,66552,72057,67096,70750,65949,80471,74922,74019,68276,78836,72779
2015,1120,노은,139300,145093,118765,123372,133836,140261,129738,136251,136138,142291,109614,114438,129751,135825,129246,135905,124726,130955,134109,141939,127421,134325,138706,144122
2015,1121,지족,90410,86414,75538,71770,102807,99351,99733,96104,98185,93185,82110,80174,88212,85121,84429,81207,90728,88181,97810,93160,95548,91612,96072,91381
2015,1122,반석,188248,171467,162385,148008,202418,185038,198873,179643,203437,185556,173466,158402,200996,184179,194137,177861,201158,180577,217352,196466,208215,188606,222730,199870
