연도,역번호,역명,1월 승차,1월 하차,2월 승차,2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
2017,1101,판암,119873,102724,117214,101434,134120,118008,131167,114539,133288,116143,127581,110535,120744,104537,122091,104509,128567,111104,120147,102797,127827,109975,126770,108988
2017,1102,신흥,59941,50550,58175,49245,65252,56282,62937,54969,64392,56470,62965,54975,60740,52998,60507,52941,64046,56009,58194,50567,62434,54458,63438,53820
2017,1103,대동,135065,120158,130851,116529,182487,161603,170144,150746,174540,155036,159592,141446,144740,127382,139787,123649,167024,145569,145892,128040,164762,143266,159648,137577
2017,1104,대전,323127,319575,311976,308512,344080,342915,338455,337404,351677,348757,338899,340400,330967,328305,336725,333886,355203,356856,330738,325191,345434,342501,352825,351551
2017,1105,중앙로,204935,226823,212507,234378,213514,235236,199037,221142,221769,245494,196753,219027,211363,231352,203381,224934,200698,222559,195529,215240,194635,215742,227043,248044
2017,1106,중구청,64811,69834,65595,69989,78094,82019,73662,78152,74822,79185,74577,78393,72146,75660,71228,74550,76843,80019,67198,70832,79075,83061,74700,79099
2017,1107,서대전네거리,209386,217184,212866,219666,234088,241255,224595,231391,230276,236949,219001,226128,208930,217865,207559,216172,221915,230675,200010,207861,218600,227587,223750,233616
2017,1108,오룡,129169,116866,129219,117364,149878,134948,140987,125714,143593,128545,139887,124947,131821,118864,133209,120171,143874,129363,124738,112810,142841,129123,139588,127064
2017,1109,용문,222867,223251,216893,217946,248702,249333,236921,236925,240408,239487,231536,231505,229887,229980,226260,226263,235077,236374,212954,213208,230804,233855,236554,238686
2017,1110,탄방,150724,169012,148053,163782,162561,181787,152157,170128,158553,177570,153779,172487,150504,168178,153352,171842,159154,178338,140555,158816,159339,179830,166934,188613
2017,1111,시청,238379,258937,241025,261589,243053,265507,223137,242867,232729,252252,227366,246416,234092,249596,228399,243645,231467,250435,202956,220118,229787,247996,238152,257458
2017,1112,정부청사,187314,199289,187200,200344,205522,220591,194594,207896,199221,213311,193195,207568,184550,199050,187707,198921,200698,212213,172096,184712,198821,212451,199462,216075
2017,1113,갈마,92699,89788,91773,88997,101785,97571,97875,93399,100391,95746,96071,91808,92827,88364,91783,87085,96462,92097,87961,85147,94172,91024,96350,93764
2017,1114,월평,113393,113190,111380,110027,126850,126717,122417,122253,122572,122581,117804,116371,115095,114017,111878,111524,121254,120192,114044,113713,120889,119746,123603,122708
2017,1115,갑천,29792,28703,29878,28903,34509,33343,33113,33127,33500,32499,32358,31229,29073,27934,29341,28171,32596,32098,29799,29927,32840,32285,31953,31206
2017,1116,유성온천,264550,270567,262937,267704,299223,303830,279969,287008,297410,305455,273093,277418,259047,266397,258145,265763,280584,287656,257540,264424,286955,293539,301044,307493
2017,1117,구암,75582,76083,74865,75632,91219,92111,88342,88472,89465,89877,86535,86423,78428,78316,78518,78504,89405,89339,78536,78688,85336,85397,82488,81132
2017,1118,현충원,64339,47098,63108,46273,93379,76059,92304,75618,93343,76684,80213,65399,65301,50058,67468,52661,84039,69570,78045,63913,81866,67563,72509,55541
2017,1119,월드컵경기장,70217,64046,67926,62225,76956,72298,73663,68515,79531,73739,80853,75378,74804,69064,75962,71117,90864,85500,73486,67238,81243,74125,83078,75033
2017,1120,노은,125467,132450,124290,131036,131111,138873,122093,128915,129364,137072,123013,130223,124045,131121,124109,132101,126289,133167,114490,120364,125764,130837,131055,136155
2017,1121,지족,85546,81933,85086,81102,101226,96832,94516,90550,96074,91614,92172,88116,84106,80997,84606,81095,92343,88287,80930,76960,93205,89272,90674,85843
2017,1122,반석,195505,174367,195565,174313,213888,192526,202562,183881,209797,191174,208450,189474,205787,189003,205294,188399,217318,197542,195292,180100,215677,198018,224854,204822
