연도,역번호,역명,1월 승차,1월 하차,2월 승차,2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
2016,1101,판암,125966,109511,117145,101554,140817,123636,137629,120329,141688,123867,133458,115693,129611,112299,127842,110563,125959,108488,135574,116546,131590,113042,134611,115485
2016,1102,신흥,59586,51283,55094,46601,65989,56187,63771,54425,65706,56127,63041,54139,60482,52666,59989,51518,59150,50455,63545,54843,62870,53849,65707,56109
2016,1103,대동,151686,133984,133190,117564,195302,173850,182516,160803,185901,164273,169102,149492,153404,134763,145201,127231,162208,141896,172147,152321,170794,152653,166440,146178
2016,1104,대전,323871,323051,302993,303494,340821,341984,340586,345185,354420,352518,328413,333245,325161,329376,317179,320120,316536,321658,329039,331067,315330,320176,332243,335499
2016,1105,중앙로,211815,232093,218467,235944,219875,240296,205378,227784,230817,253134,197360,217252,216645,235582,211162,231806,194371,216598,206377,227518,198232,218794,230077,251625
2016,1106,중구청,68250,73021,64309,69159,80336,84719,75611,80850,77877,82876,73892,78622,71865,76025,68975,72608,67636,70777,75198,78086,75991,78808,75032,79004
2016,1107,서대전네거리,223121,230534,208868,217055,242285,248202,235884,244620,242038,249518,224105,231177,219778,228489,209897,216775,204699,210890,225936,232207,223629,229471,233030,240739
2016,1108,오룡,134027,121172,120153,109453,150280,134862,142078,127689,144658,130293,138058,123451,133207,118425,129128,115236,127498,112814,138377,123346,142298,126383,144765,129777
2016,1109,용문,229665,231838,207761,209581,247988,251622,237184,238311,241486,240463,231346,230322,228587,227896,224839,224921,213974,214652,235678,236907,232502,234346,245119,246839
2016,1110,탄방,151458,168160,137537,152840,161574,178420,152253,168916,157918,176453,154112,173144,153491,172355,150005,167350,140495,158138,152650,174615,152936,173278,166089,189227
2016,1111,시청,246792,264458,220653,239177,243704,263443,229977,249952,236060,256405,227846,247507,239782,258378,228994,246753,211172,230725,227859,247749,231941,253458,250892,276371
2016,1112,정부청사,194797,211285,178837,192229,211125,228000,201743,216407,207414,223955,195278,210278,190853,205204,183434,197521,179912,192477,197279,212316,198568,212636,205191,221722
2016,1113,갈마,95582,91830,89420,86263,102295,98354,99387,95075,102199,98069,96288,91441,94645,90212,90839,86467,89973,86040,98329,93356,97587,93020,102468,97483
2016,1114,월평,119586,120921,107472,108235,129122,132421,127436,127994,128766,130565,119019,119690,118861,120200,113451,115772,114402,116842,127531,128915,121931,122000,125843,124627
2016,1115,갑천,31294,30363,28973,28144,34302,33425,33397,33173,35175,33883,32889,31856,30320,29057,30793,29403,30001,28995,33429,33092,31827,31346,33294,32031
2016,1116,유성온천,264979,266222,244889,245091,295007,296283,280709,282775,295493,301803,269954,272529,261979,264196,252417,255708,255918,257991,279331,283742,279245,283542,299901,303268
2016,1117,구암,78840,79907,74222,75929,92142,93780,90289,91703,90439,91698,86169,86191,80815,80173,78210,78664,80568,81895,88443,88507,85515,86721,85275,85470
2016,1118,현충원,63731,45872,60419,43063,90487,72955,94828,75758,96681,77078,81896,64716,68029,51067,68740,52282,80542,64981,86112,70352,84169,69371,76082,58340
2016,1119,월드컵경기장,70602,64333,62871,57667,75845,71036,74170,68001,75060,69386,75970,70193,71506,65556,70101,63818,69067,64374,76100,70270,75384,69152,78987,72590
2016,1120,노은,127953,134709,119110,125441,128608,136994,124062,131425,130246,137779,123031,130953,127107,135221,125012,133849,116987,125091,127276,135201,127130,134949,136725,143515
2016,1121,지족,86574,82928,77989,73941,98622,95020,93678,89543,95774,92631,89684,86739,85418,82011,84021,81090,88586,84617,95849,92237,96335,91747,98081,92814
2016,1122,반석,203257,184471,189136,170139,220725,199394,212596,192462,218184,199229,210145,192331,207691,189449,199126,180176,191222,170959,208291,185564,207593,184560,217312,192647
