년도,역명,월,역번호,승차인원,하차인원,_source_file
2021,갈마,8,1113,58455,58023,대전교통공사_역별 수송실적_20211231.csv
2021,갈마,9,1113,64271,63298,대전교통공사_역별 수송실적_20211231.csv
2021,갈마,10,1113,72516,71576,대전교통공사_역별 수송실적_20211231.csv
2021,갈마,11,1113,76750,76281,대전교통공사_역별 수송실적_20211231.csv
2021,갈마,12,1113,74540,74525,대전교통공사_역별 수송실적_20211231.csv
2022,갈마,1,1113,72001,72626,대전교통공사_역별 수송실적_20221231.csv
2022,갈마,2,1113,58875,59910,대전교통공사_역별 수송실적_20221231.csv
2022,갈마,3,1113,68682,68428,대전교통공사_역별 수송실적_20221231.csv
2022,갈마,4,1113,74809,74701,대전교통공사_역별 수송실적_20221231.csv
2022,갈마,5,1113,84884,85206,대전교통공사_역별 수송실적_20221231.csv
2022,갈마,6,1113,81358,81024,대전교통공사_역별 수송실적_20221231.csv
2022,갈마,7,1113,79571,79617,대전교통공사_역별 수송실적_20221231.csv
2022,갈마,8,1113,75375,75539,대전교통공사_역별 수송실적_20221231.csv
2022,갈마,9,1113,78548,79118,대전교통공사_역별 수송실적_20221231.csv
2022,갈마,10,1113,83974,84037,대전교통공사_역별 수송실적_20221231.csv
2022,갈마,11,1113,83325,82861,대전교통공사_역별 수송실적_20221231.csv
2022,갈마,12,1113,87818,88349,대전교통공사_역별 수송실적_20221231.csv
2023,갈마,1,1113,79123,80190,대전교통공사_역별 수송실적_20231231.csv
2023,갈마,2,1113,80975,81999,대전교통공사_역별 수송실적_20231231.csv
2023,갈마,3,1113,90493,90634,대전교통공사_역별 수송실적_20231231.csv
2023,갈마,4,1113,86685,86370,대전교통공사_역별 수송실적_20231231.csv
2023,갈마,5,1113,90148,89707,대전교통공사_역별 수송실적_20231231.csv
2023,갈마,6,1113,88654,87968,대전교통공사_역별 수송실적_20231231.csv
2023,갈마,7,1113,85414,85099,대전교통공사_역별 수송실적_20231231.csv
2023,갈마,8,1113,86961,86574,대전교통공사_역별 수송실적_20231231.csv
2023,갈마,9,1113,82665,81575,대전교통공사_역별 수송실적_20231231.csv
2023,갈마,10,1113,86917,85828,대전교통공사_역별 수송실적_20231231.csv
2023,갈마,11,1113,87197,86034,대전교통공사_역별 수송실적_20231231.csv
2023,갈마,12,1113,88595,87752,대전교통공사_역별 수송실적_20231231.csv
2024,갈마,1,1113,85352,85507,대전교통공사_역별 수송실적_20241231.csv
2024,갈마,2,1113,78887,79279,대전교통공사_역별 수송실적_20241231.csv
2024,갈마,3,1113,87503,87259,대전교통공사_역별 수송실적_20241231.csv
2024,갈마,4,1113,87422,86398,대전교통공사_역별 수송실적_20241231.csv
2024,갈마,5,1113,90480,89546,대전교통공사_역별 수송실적_20241231.csv
2024,갈마,6,1113,84867,84289,대전교통공사_역별 수송실적_20241231.csv
2024,갈마,7,1113,86517,86338,대전교통공사_역별 수송실적_20241231.csv
